,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
162,2010,94112,139.0,0.024061153293658988,139727.0
169,2010,94114,137.0,0.028934557328396338,293998.5
99,2010,94102,136.0,0.002341591345478289,256836.0
141,2010,94109,135.0,0.03134608513614845,204946.0
139,2008,94109,134.0,0.0559050881408123,198205.0
256,2013,94133,134.0,0.08282289692856826,294870.0
221,2013,94123,133.0,0.11467268761335236,363847.0
104,2008,94103,132.0,0.006833380618489926,248416.0
121,2011,94105,131.0,-0.08388724344758813,307763.5
206,2012,94121,131.0,0.04040927772281,218719.0
211,2010,94122,131.0,0.030005953025219245,190324.5
154,2009,94111,130.0,0.044919629810034056,321783.0
177,2011,94115,129.0,0.007455134440508049,282231.0
253,2010,94133,129.0,0.043384823134180905,253434.0
190,2010,94117,128.0,0.045682183362067974,267474.0
135,2011,94108,127.0,0.03243492581158125,255157.0
254,2011,94133,127.0,0.034561266444123495,262193.0
140,2009,94109,125.0,0.0025831840770917935,198717.0
178,2012,94115,125.0,0.06295906544638963,300000.0
98,2009,94102,121.0,0.07553727333781057,256236.0
252,2009,94133,118.0,0.08308789922523818,242896.0
204,2010,94121,115.0,0.019746896259155378,199514.5
168,2009,94114,114.0,0.061226536327373404,285731.0
220,2012,94123,114.0,0.03624126984126974,326416.0
167,2008,94114,113.0,0.07380553561458081,269246.0
184,2011,94116,113.0,0.03516419181435948,194497.0
160,2008,94112,113.0,0.020240010092408722,129395.0
264,2014,94134,111.0,0.041476282365331185,156248.0
112,2009,94104,111.0,0.36016603661700386,348650.0
225,2010,94124,110.0,0.04621731963505327,109166.5
210,2009,94122,107.0,0.0746209631925745,184780.0
191,2011,94117,107.0,0.034431383984985464,276683.5
120,2010,94105,106.0,0.06249169792463927,335945.0
235,2013,94127,104.0,0.048136576927584995,259331.0
97,2008,94102,103.0,-0.031101621676579705,238240.0
195,2008,94118,103.0,0.0699213882037546,227086.0
240,2011,94131,102.0,0.1260274372588046,231384.0
111,2008,94104,102.0,-0.12775289922142974,256329.0
196,2009,94118,101.0,0.06272513497089216,241330.0
185,2012,94116,98.0,0.04346853678977047,202951.5
202,2008,94121,97.0,0.0535996311026572,182789.0
181,2008,94116,97.0,0.11250554059686291,168163.0
219,2011,94123,96.0,0.03290541537553482,315000.0
175,2009,94115,96.0,0.07016899051432235,273700.0
161,2009,94112,95.0,0.0544766026507979,136444.0
224,2009,94124,93.0,0.05416081549356955,104344.0
242,2013,94131,93.0,0.050266686078060285,238065.0
176,2010,94115,92.0,0.02353854585312387,280142.5
183,2010,94116,92.0,0.04445710632738997,187890.0
188,2008,94117,92.0,0.1122873795646484,243126.0
133,2009,94108,91.0,0.028517630294972784,242526.0
217,2009,94123,91.0,0.11376719083257525,291386.0
241,2012,94131,90.0,-0.020368737682813,226671.0
223,2008,94124,89.0,0.06442489676531316,98983.0
218,2010,94123,89.0,0.04660141530478468,304965.0
119,2009,94105,88.0,0.18114933683485024,316186.0
216,2008,94123,88.0,0.03314799311292593,261622.0
205,2011,94121,88.0,0.0536778028664584,210224.0
237,2008,94131,86.0,0.09285257894520882,186433.0
263,2013,94134,85.0,0.09409834272274797,150025.5
234,2012,94127,85.0,0.0681964382083109,247421.0
134,2010,94108,85.0,0.019028887624419566,247141.0
231,2009,94127,84.0,0.0403888341413412,210093.0
262,2012,94134,84.0,0.033716547304937894,137122.5
189,2009,94117,80.0,0.05208410453838752,255789.0
239,2010,94131,80.0,0.037991372255841815,205487.0
182,2009,94116,80.0,0.0697507775194306,179892.5
153,2008,94111,79.0,0.0700343474249856,307950.0
118,2008,94105,79.0,-0.11276332710230819,267693.5
261,2011,94134,77.0,0.026957141087575964,132650.0
174,2008,94115,77.0,0.0925456021188431,255754.0
232,2010,94127,76.0,0.05869305498041344,222424.0
203,2009,94121,76.0,0.07036528456307556,195651.0
238,2009,94131,70.0,0.06186136574533485,197966.0
233,2011,94127,69.0,0.04136693881955189,231625.0
249,2013,94132,62.0,0.06121268286934112,198104.0
251,2008,94133,61.0,0.08519713920718486,224262.5
