,ROLLYEAR,Mail Zipcode,new business count,pct_change,median land value price
757,2011,94116,113.0,0.03516419181435948,194497.0
730,2008,94112,113.0,0.020240010092408722,129395.0
738,2008,94114,113.0,0.07380553561458081,269246.0
675,2009,94104,111.0,0.36016603661700386,348650.0
883,2014,94134,111.0,0.041476282365331185,156248.0
815,2010,94124,110.0,0.04621731963505327,109166.5
798,2009,94122,107.0,0.0746209631925745,184780.0
765,2011,94117,107.0,0.034431383984985464,276683.5
684,2010,94105,106.0,0.06249169792463927,335945.0
834,2013,94127,104.0,0.048136576927584995,259331.0
770,2008,94118,103.0,0.0699213882037546,227086.0
658,2008,94102,103.0,-0.031101621676579705,238240.0
674,2008,94104,102.0,-0.12775289922142974,256329.0
856,2011,94131,102.0,0.1260274372588046,231384.0
771,2009,94118,101.0,0.06272513497089216,241330.0
758,2012,94116,98.0,0.04346853678977047,202951.5
754,2008,94116,97.0,0.11250554059686291,168163.0
789,2008,94121,97.0,0.0535996311026572,182789.0
808,2011,94123,96.0,0.03290541537553482,315000.0
747,2009,94115,96.0,0.07016899051432235,273700.0
731,2009,94112,95.0,0.0544766026507979,136444.0
814,2009,94124,93.0,0.05416081549356955,104344.0
858,2013,94131,93.0,0.050266686078060285,238065.0
756,2010,94116,92.0,0.04445710632738997,187890.0
762,2008,94117,92.0,0.1122873795646484,243126.0
748,2010,94115,92.0,0.02353854585312387,280142.5
806,2009,94123,91.0,0.11376719083257525,291386.0
699,2009,94108,91.0,0.028517630294972784,242526.0
857,2012,94131,90.0,-0.020368737682813,226671.0
813,2008,94124,89.0,0.06442489676531316,98983.0
807,2010,94123,89.0,0.04660141530478468,304965.0
792,2011,94121,88.0,0.0536778028664584,210224.0
683,2009,94105,88.0,0.18114933683485024,316186.0
805,2008,94123,88.0,0.03314799311292593,261622.0
853,2008,94131,86.0,0.09285257894520882,186433.0
833,2012,94127,85.0,0.0681964382083109,247421.0
700,2010,94108,85.0,0.019028887624419566,247141.0
882,2013,94134,85.0,0.09409834272274797,150025.5
881,2012,94134,84.0,0.033716547304937894,137122.5
830,2009,94127,84.0,0.0403888341413412,210093.0
755,2009,94116,80.0,0.0697507775194306,179892.5
763,2009,94117,80.0,0.05208410453838752,255789.0
855,2010,94131,80.0,0.037991372255841815,205487.0
722,2008,94111,79.0,0.0700343474249856,307950.0
682,2008,94105,79.0,-0.11276332710230819,267693.5
746,2008,94115,77.0,0.0925456021188431,255754.0
880,2011,94134,77.0,0.026957141087575964,132650.0
790,2009,94121,76.0,0.07036528456307556,195651.0
831,2010,94127,76.0,0.05869305498041344,222424.0
854,2009,94131,70.0,0.06186136574533485,197966.0
832,2011,94127,69.0,0.04136693881955189,231625.0
866,2013,94132,62.0,0.06121268286934112,198104.0
869,2008,94133,61.0,0.08519713920718486,224262.5
863,2010,94132,55.0,0.031758162941363244,175500.0
829,2008,94127,50.0,0.07382453975985626,201937.0
416,2014,94010,50.0,0.08180244118234659,227423.0
862,2009,94132,50.0,0.0510257043994069,170098.0
1219,2008,94541,48.0,0.12202810562961708,52856.5
864,2011,94132,44.0,-0.12764957264957266,153097.5
